w_id,x,y,z
1,-65.39194107055664,133.70694732666016,-6.274335503578186
1,-67.88526916503906,137.27623748779297,-6.652125954627991
2,-74.212646484375,149.11556243896484,-7.268213629722595
2,-71.11856079101562,144.17859649658203,-7.119784235954285
3,-198.2254180908203,-29.15665054321289,-12.417064428329468
3,-197.4070587158203,-29.072940826416016,-12.380090475082397
4,-150.4169692993164,70.79854202270508,-9.737213373184204
4,-148.1785125732422,65.61232376098633,-10.106703996658325
5,-123.46395874023438,-100.71493339538574,-9.600259780883789
5,-116.68222045898438,-95.72700309753418,-9.472624778747559
6,-186.74502563476562,-91.89663124084473,-11.86962890625
6,-186.6680908203125,-90.13869667053223,-11.908456802368164
7,-32.18682384490967,-89.17547225952148,-10.565588235855103
7,-34.511013984680176,-85.49068069458008,-9.410992860794067
8,-62.0280065536499,-102.41476058959961,-8.054589986801147
8,-36.55428981781006,-86.45284652709961,-9.348165273666382
